Date,Open,High,Low,Close
2024-10-17,13.05,13.47,11.06,13.39
2024-10-18,13.39,14.06,12.87,13.04
2024-10-21,13.04,14.20,12.55,13.76
2024-10-22,13.76,14.52,9.47,14.40
2024-10-23,14.40,15.03,11.74,14.62
2024-10-24,14.62,14.90,12.70,13.97
2024-10-25,13.97,15.08,13.35,14.63
2024-10-28,14.63,15.48,13.54,14.29
2024-10-29,14.29,15.03,13.56,14.52
2024-10-30,14.52,15.70,14.28,15.51
2024-10-31,15.51,16.24,14.65,15.55
2024-11-01,15.55,16.13,13.63,15.90
2024-11-04,15.90,17.60,14.78,16.69
2024-11-05,16.69,19.02,15.80,16.12
2024-11-06,16.12,20.75,14.71,14.87
2024-11-07,14.87,15.52,14.27,14.94
2024-11-08,14.94,15.73,14.39,14.47
2024-11-11,14.47,15.47,13.12,14.27
2024-11-12,14.27,14.84,12.74,14.59
2024-11-13,14.59,15.87,13.93,15.44
2024-11-14,15.44,15.69,13.41,14.78
2024-11-18,14.78,16.58,13.76,15.17
2024-11-19,15.17,16.18,12.73,15.66
2024-11-21,15.66,16.78,14.84,15.99
2024-11-22,15.99,18.67,12.75,16.10
2024-11-25,16.10,16.86,13.63,15.30
2024-11-26,15.30,16.26,13.87,15.31
2024-11-27,15.31,15.31,13.25,14.63
2024-11-28,14.63,15.56,14.27,15.21
2024-11-29,15.21,15.46,14.33,14.43
2024-12-02,14.43,15.08,13.31,14.70
2024-12-03,14.70,14.89,14.24,14.37
2024-12-04,14.37,14.80,14.11,14.45
2024-12-05,14.45,15.71,14.06,14.53
2024-12-06,14.53,15.02,14.05,14.14
2024-12-09,14.14,14.64,13.45,14.11
2024-12-10,14.11,14.67,13.70,13.78
2024-12-11,13.78,14.11,13.18,13.27
2024-12-12,13.27,13.40,12.95,13.19
2024-12-13,13.19,14.72,12.47,13.05
2024-12-16,13.05,14.51,13.05,14.02
2024-12-17,14.02,14.98,13.18,14.49
2024-12-18,14.49,15.24,14.27,14.37
2024-12-19,14.37,15.44,13.87,14.51
2024-12-20,14.51,15.55,14.40,15.07
2024-12-23,15.07,16.88,13.42,13.52
2024-12-24,13.52,15.03,12.98,13.18
2024-12-26,13.18,14.39,13.08,14.04
2024-12-27,14.04,14.24,13.04,13.24
2024-12-30,13.24,14.37,13.24,13.97
2024-12-31,13.97,14.64,13.97,14.45
2025-01-02,14.51,14.80,13.63,13.74
2025-01-03,13.74,13.98,13.23,13.54
2025-01-06,13.54,15.92,13.54,15.65
2025-01-07,15.65,15.65,14.35,14.66
2025-01-08,14.66,14.88,14.10,14.47
2025-01-09,14.47,14.89,13.75,14.66
2025-01-10,14.66,15.52,14.66,14.92
2025-01-13,14.92,16.18,14.45,16.00
2025-01-14,16.00,16.00,15.12,15.47
2025-01-15,15.47,15.66,15.20,15.26
2025-01-16,15.26,15.57,13.96,15.47
2025-01-17,15.47,16.38,14.05,15.75
