"Date","Time (IST)","Event","Country","Importance","Previous","Forecast","Expected Impact on Indian Stock Market (Nifty / Sectors)"
"2025-11-25","11:00 PM","Retail Sales MoM","US","High","0.4%","0.3%","Strong sales reduce Fed cut odds; risk-off, FII outflows from India; weak boosts inflows"
"2025-11-25","11:00 PM","PPI MoM","US","High","0.3%","0.5%","Higher inflation tempers rate cut bets; negative for EM equities including Nifty"
"2025-11-25","12:30 AM (next day)","CB Consumer Confidence","US","High","93.5","94.2","Rising confidence supports USD; mild pressure on rupee, IT exports"
"2025-11-26","06:00 AM","RBNZ Interest Rate Decision","New Zealand","High","4.75%","4.75%","Hawkish surprise strengthens NZD; minor global yield impact, indirect on India"
"2025-11-26","06:00 AM","Inflation Rate YoY","Australia","High","3.6%","3.5%","Lower CPI aids RBA easing; positive for commodities, metals/mining stocks in India"
"2025-11-26","11:00 PM","Durable Goods Orders MoM","US","High","0.2%","0.2%","Weak orders signal slowdown; boosts Fed cut odds, FII inflows to India"
"2025-11-26","11:00 PM","Initial Jobless Claims","US","Medium","227K","224K","Rising claims indicate labour softening; positive for rate cuts, EM rally"
"2025-11-27","05:30 AM","Tokyo CPI YoY","Japan","High","2.4%","2.3%","Higher CPI pressures BOJ; yen strength could unwind carry trades, hurting Nifty"
"2025-11-27","All Day","Thanksgiving Holiday","US","Holiday","","","US markets closed; low liquidity, global caution for Indian open"
"2025-11-28","05:00 AM","Caixin Manufacturing PMI","China","High","49.5","50.0","Expansion lifts global demand; positive for IT, pharma, metals in India"
"2025-11-28","10:30 AM","Industrial Production YoY","India","High","4.0%","4.3%","Strong growth boosts cyclicals (auto, infra); weak pressures Nifty"
"2025-11-28","10:30 AM","Manufacturing Production YoY","India","High","4.8%","4.4%","Key for capex; positive surprise lifts midcaps, industrials"
"2025-11-28","06:00 PM","Retail Sales MoM","Germany","Medium","-0.2%","0.1%","Weak Eurozone data; ECB dovish bets, aids FII to India"
"2025-11-28","07:30 PM","GDP QoQ","Switzerland","High","0.3%","0.4%","Strong Swiss growth; minor franc impact, low direct effect on India"
"2025-11-28","08:30 PM","CPI YoY","Germany","High","2.0%","1.9%","Benign inflation supports ECB cuts; positive global risk-on for Nifty"
"2025-11-28","09:30 PM","GDP MoM","Canada","High","0.1%","0.2%","Weak CAD data; commodity pressure, negative for oil/energy stocks"
"2025-11-29","All Day","Black Friday","US","Medium","","","Consumer spending focus; strong sales positive for global sentiment"
"2025-12-01","05:00 AM","HSBC Manufacturing PMI Final","India","High","57.5","57.7","Robust PMI signals growth; boosts Nifty, especially manufacturing sectors"
"2025-12-01","08:15 PM","Markit Manufacturing PMI Final","US","High","48.5","48.7","Expansion lifts risk assets; FII inflows to India"
"2025-12-01","09:00 PM","Construction Spending MoM","US","Medium","0.2%","0.3%","Weak housing data signals slowdown; boosts rate-cut bets"
"2025-12-01","09:00 PM","ISM Manufacturing PMI","US","High","48.7","48.3","Below 50 pressures stocks; risk-off for EM including India"
"2025-12-02","09:00 PM","JOLTS Job Openings","US","High","8.04M","8.0M","Cooling labour market; positive for Fed cuts, Nifty rally"
"2025-12-02","09:00 PM","Factory Orders MoM","US","Medium","-0.5%","0.2%","Orders recovery supports industrials globally"
"2025-12-03","02:00 AM","ADP Nonfarm Employment Change","US","High","233K","175K","Soft jobs data boosts cut odds; strong FII flows to India"
"2025-12-03","03:00 AM","ISM Non-Manufacturing PMI","US","High","56.9","56.8","Strong services sector supports sentiment; positive spillover"
"2025-12-05","04:30 AM","RBI Monetary Policy - Repo Rate","India","Very High","6.50%","6.25%","Rate cut sparks rally in banks, realty, auto; hold stabilizes markets"
"2025-12-05","09:00 PM","Nonfarm Payrolls","US","Very High","12K","150K","Weak NFP fuels cuts; massive FII inflows, Nifty surge"
"2025-12-05","09:00 PM","Unemployment Rate","US","Very High","4.1%","4.1%","Rising unemployment increases easing probability; EM equities gain"
"2025-12-10","02:00 AM","Fed Interest Rate Decision","US","Very High","5.25-5.50%","5.00-5.25%","Rate cut triggers global rally; strong boost to Nifty via FII flows"
"2025-12-11","08:00 PM","CPI YoY","US","Very High","2.6%","2.7%","Lower CPI enhances cut cycle; positive for risk assets in India"
"2025-12-12","10:30 AM","CPI Inflation YoY","India","High","5.49%","5.6%","Below-forecast inflation fuels RBI cut expectations; consumption stocks up"
"2025-12-17","08:00 PM","Retail Sales MoM","US","High","0.5%","0.3%","Strong spending reduces cut bets; short-term Nifty dip"
"2025-12-18","07:15 PM","ECB Interest Rate Decision","Eurozone","Very High","3.50%","3.25%","Dovish ECB lowers yields; supports FII flows to India"
"2025-12-18","07:45 PM","BOE Interest Rate Decision","UK","Very High","5.00%","4.75%","Rate cut improves global EM sentiment; positive for Nifty"
"2025-12-19","05:00 AM","BOJ Policy Rate","Japan","High","-0.10%","0.00%","Hike strengthens yen; carry-trade unwind creates Nifty downside risk"
"2025-12-22","06:30 AM","Core Sector Output YoY","India","High","4.1%","4.5%","Strong infra data lifts metals, cement, capital goods"
"2025-12-25","All Day","Christmas Holiday","Global","Holiday","","","Markets closed globally; low-volume sessions for India"
