,,,,,,,,,ATM_IV,VIX,IV_Skew,PCR,5_Day_Historical_RV,IVP,ATM_IV_minus_RV,FII_Derivative_Positioning,Days_to_Expiry,Event_Impact_Score,Next_5_Day_Volatility
,,,,,,,,,47.4507123,36.98751335,7.634232364,1.456908957,27.52671228,72.38060184,19.92400001,2946184.37,4,0,41.8270378
,,,,,,,,,36.48769938,30.02662487,8.524955722,1.230230419,23.91802457,52.55314783,12.56967481,-1923246.866,5,0,31.86863123
49.43682632,50,6.981774607,0.8602810739,19.37835683,95,13.57952738,28553722.68,6,2,40.20352856,,,,,,,,,
43.62943407,19.63621836,3.532009322,0.8313137412,26.35879897,65.52132788,17.2706351,45984934.24,3,0,29.14835941,,,,,,,,,
24.80753319,28.18522839,3.37556973,0.5763088896,16.31930113,52.01345325,8.488232065,20605408.32,1,0,22.45507908,,,,,,,,,
50,44.37661131,7.6138432,0.5725755441,29.88207319,67.32440112,20.11792681,30346312.54,6,0,38.97965867,,,,,,,,,
31.83425913,30.37776,3.453031296,1.112709406,15.46485976,95,16.36939937,-6522126.969,6,0,22.97734906,,,,,,,,,
30.99041965,26.45490296,4.401431603,1.555683455,20.6754268,49.89010844,10.31499285,3762144.184,2,0,26.10475192,,,,,,,,,
39.79754163,24.82234304,7.554638029,0.633746905,26.38838264,50.81462997,13.40915899,44571962.21,6,0,27.1227373,,,,,,,,,
43.13295393,18.96064148,4.190316833,1.059058371,22.21754017,94.13919629,20.91541375,15801343.81,7,0,27.2551226,,,,,,,,,
50,41.67169645,6.514817197,0.9096688913,27.91341759,79.12532509,22.08658241,-7260896.273,1,0,40.24844427,,,,,,,,,
21.38660417,18.49386745,4.975149701,1.317136668,14.74106132,45.08184795,3.081108823,976516.6436,3,1,21.60675945,,,,,,,,,
50,26.13317223,9.294981506,0.8844753159,27.55663396,81.44451193,17.59764038,31114538.71,3,1,48.01560059,,,,,,,,,
29.84617,33.55574612,7.017324413,1.279384036,17.91480454,66.6005896,11.93136545,33786810.31,5,0,25.87309117,,,,,,,,,
32.89408458,29.16085337,7.508758193,1.292663538,15.59427548,95,11.81746167,-25263934.25,7,1,22.70125751,,,,,,,,,
39.37486372,34.06067046,4.727927469,0.6411380128,17.62602656,95,15.18635987,10877738.25,1,1,29.98351963,,,,,,,,,
50,50,6.49829731,1.301059869,29.61116472,68.85522903,20.38883528,-235285.2766,1,0,47.0751533,,,,,,,,,
50,47.26387612,10,1.46141097,29.2035697,71.21194603,16.22097067,-1966075.443,2,2,59.18177126,,,,,,,,,
39.46260941,47.10761009,1.222401247,1.246570751,23.64620973,66.88767403,15.81639968,39909238.51,4,0,34.05425381,,,,,,,,,
49.56684723,38.60254543,8.173529721,0.5,26.00399179,90.61245534,15.30171424,-7126144.197,7,1,43.75903466,,,,,,,,,
44.04590602,42.25813054,10,0.8445189345,25.55436731,72.36155954,11.15055438,-17267313.1,3,1,40.17141508,,,,,,,,,
33.44711515,27.49048718,8.894729314,1.098625333,15.56260121,95,12.30999474,-24449739.13,5,1,23.95327349,,,,,,,,,
48.08039542,50,8.348941259,1.290593497,19.83790797,95,12.21568898,-5236407.936,6,2,41.73516629,,,,,,,,,
35.36304431,30.35373971,6.066970816,0.5609455156,19.69030928,79.59618517,9.778894315,-22057388.06,2,1,33.80814611,,,,,,,,,
50,46.46949525,8.148910904,0.92962386,24.79927523,95,19.64252893,-25943452.88,6,1,42.17217653,,,,,,,,,
18.76943887,18.50607561,4.051875476,0.7593168192,11.61776898,61.55803154,7.151669892,-26699103.77,1,0,13.85434532,,,,,,,,,
37.58071433,36.10780035,9.038411791,1.052373344,26.29307764,42.93007016,11.28763668,-24916281.12,5,0,33.29297841,,,,,,,,,
50,42.63053168,3.842077577,0.9920458374,25.63745276,95,18.22580311,-22824971.67,3,1,42.31477837,,,,,,,,,
40.90345315,50,5.383218963,1.090464203,26.67876497,53.31839087,14.22468818,11971581.65,3,0,37.93999016,,,,,,,,,
39.47932345,23.69318446,8.101883746,1.22557991,23.40532032,68.67670648,16.07400314,-58799475.68,4,0,27.74683393,,,,,,,,,
50,32.85147785,9.340129431,0.5794446812,33.59917403,48.81318198,16.40082597,-21052597.44,1,0,45.09606971,,,,,,,,,
50,50,5.941115224,0.8301106811,25.99077807,92.37592608,22.81207834,-3003897.221,7,1,48.06343636,,,,,,,,,
49.79372457,36.62691486,4.541050559,1.020568892,25.02677467,95,16.46799581,34458738.61,7,1,44.07688225,,,,,,,,,
28.87853315,34.96224065,4.269334341,1.464980322,11.48155719,95,12.58388711,-7377811.172,3,1,17.47915475,,,,,,,,,
28.25120061,24.66069722,6.666285196,0.6307407051,15.54896674,81.69181975,12.70223388,-4599701.036,5,0,20.00601607,,,,,,,,,
50,50,4.250082787,1.055390158,24.63350184,95,18.77839718,-2638401.119,5,1,40.65294616,,,,,,,,,
43.89824191,42.88301397,4.014957203,0.6038630161,25.80503253,70.11504192,18.09320938,-54710629.61,5,0,29.93784721,,,,,,,,,
47.82912348,40.9293829,6.912801549,1.103934463,26.32089139,81.71543956,21.5082321,19772793.03,1,0,38.0723447,,,,,,,,,
29.79962918,30.27814013,5.793408073,0.7856945746,17.73629839,68.01492916,12.06333079,18522647.11,7,0,23.46157873,,,,,,,,,
50,50,5.742780632,1.196966083,30.92093301,61.70275323,19.07906699,24434884.78,7,0,49.53073075,,,,,,,,,
30.45572994,39.06931681,8.989866734,0.7537953045,12.1640587,95,13.21571624,75175441.59,1,1,19.32762802,,,,,,,,,
50,50,10,1.569037895,28.73013502,74.0332928,21.26986498,-38955648.09,7,1,50.42856873,,,,,,,,,
36.31917826,25.47943638,4.324515041,0.7552569145,26.87349122,35.14871574,9.445687038,-44640799.94,3,0,34.81329042,,,,,,,,,
46.61216923,43.53110464,8.25864164,1.248154975,23.96455889,94.50459922,14.87891547,21176019.44,4,1,40.82170034,,,,,,,,,
40.19502838,46.56558739,5.35256782,1.81605075,20.48153462,95,19.71349376,-10124673.04,7,0,29.44856399,,,,,,,,,
50,38.29201261,6.366002115,1.144741725,26.8300744,86.35803708,22.55493582,-29568847.61,4,1,46.01221941,,,,,,,,,
36.64805822,38.24169272,6.493545701,0.9781513262,22.44064342,63.31108485,14.2074148,-8476874.035,7,0,33.27282177,,,,,,,,,
27.29809423,13.90512513,4.594472289,1.256919638,16.58018861,64.64284493,10.71790561,-18550308.75,4,0,21.12638684,,,,,,,,,
43.21140616,25.12276226,6.687508364,1.115595214,24.75195809,74.57772835,18.45944807,51743312.03,2,0,32.81798675,,,,,,,,,
32.09056615,33.4715733,6.753639337,0.6571089107,20.43191299,57.06099653,6.310225469,67854369.12,6,1,31.64064445,,,,,,,,,
45.36681041,41.8111769,8.149021159,1.316140616,32.45754388,39.77277691,12.90926652,-49066838.74,1,0,42.47017884,,,,,,,,,
19.33495948,14.39068483,5.642799624,1.154135785,11.07220897,74.62603474,8.262750512,-44296464.4,1,0,15.78244162,,,,,,,,,
50,50,9.049471641,1.340669692,30.38134291,64.57468701,17.34437239,-22781040.14,3,1,53.25424267,,,,,,,,,
50,47.59585161,6.318513837,1.227690766,31.84633234,57.00395092,18.15366766,-20685841.25,6,0,45.93963963,,,,,,,,,
34.08914614,30.57456053,5.749137555,1.024562242,19.15631935,77.95248408,9.251302434,-23257813.4,5,1,30.81736814,,,,,,,,,
50,44.9294437,10,0.5161852386,28.71982936,74.09574193,21.28017064,-5827025.386,1,1,45.7496785,,,,,,,,,
49.38153302,50,8.229834554,0.6766765666,23.63151164,95,9.289510371,-13405044.02,4,2,47.34995012,,,,,,,,,
35.12453323,40.57848872,5.107235024,1.064937577,17.42507222,95,11.84537214,-40608377.79,2,1,30.64166723,,,,,,,,,
40.6835776,28.79877476,9.838078976,1.190175707,25.25413072,61.09672531,15.42944688,-30804247.23,5,0,28.54874909,,,,,,,,,
10,18.58666245,2.806252855,1.25573,6.00408702,66.5532156,3.99591298,46390164.97,5,0,6.729002309,,,,,,,,,
33.73462671,31.63148075,7.923949979,1.259726558,16.58794101,95,11.52424791,-10723447.4,2,1,24.85914937,,,,,,,,,
21.99555389,21.05093022,4.026606464,0.8040012302,13.75414126,59.91949976,8.241412638,-12258926.75,7,0,15.74783069,,,,,,,,,
50,50,5.531979064,1.275358584,27.62822885,80.97432256,22.37177115,-45613114.37,2,0,40.43393774,,,,,,,,,
50,50,5.35457035,0.8547297781,26.05769396,91.88190664,23.94230604,-13896501.82,1,0,41.26033137,,,,,,,,,
50,38.57752865,8.132206226,1.232390216,29.57323905,69.07177438,20.42676095,28827072.89,2,0,43.54317235,,,,,,,,,
31.31525151,30.84440251,0,0.6926837076,13.89677048,95,12.19927244,17866544.35,3,1,22.38874489,,,,,,,,,
36.21147773,21.18528238,8.74032068,0.5709575866,22.82189399,58.66990592,13.38958374,24332978.94,5,0,27.18533166,,,,,,,,,
33.3993327,31.42403568,8.029835327,0.5692413546,20.90717994,59.75053929,12.49215276,-36107912.28,5,0,24.36398059,,,,,,,,,
50,50,7.10745454,1.138631042,30.02696004,66.51702315,19.97303996,-36588530.5,4,1,49.28092926,,,,,,,,,
42.98589543,30.5284144,6.403611879,0.8844059209,28.75468684,49.49178779,14.23120859,34003071.67,1,0,38.24339935,,,,,,,,,
50,48.75337954,10,0.6286553504,25.00920075,95,16.69355943,24788224.2,7,1,47.79576568,,,,,,,,,
50,50,10,1.176495162,27.08369831,84.61289673,22.91630169,-7753882.854,4,2,57.3338788,,,,,,,,,
50,37.22876979,7.811555563,0.8520997196,26.08163833,91.7057486,18.13323969,25591208.05,1,1,43.87626614,,,,,,,,,
37.39143438,43.59621975,7.680415584,0.7921271214,21.03765272,77.73577153,10.12187592,-36089891.17,1,1,40.75555656,,,,,,,,,
50,44.19010799,8.259879241,1.188888653,26.23149065,90.61059343,23.76850935,-37334043.23,7,0,39.6576468,,,,,,,,,
27.56507484,22.23585054,6.539559679,1.18311108,16.35097225,68.58370511,11.21410259,-48523834.58,6,0,17.85714643,,,,,,,,,
50,50,10,0.8225285833,24.96280972,95,14.72366637,10844112.99,7,2,49.34540457,,,,,,,,,
48.20646072,36.86288477,6.199609272,1.329633056,34.2283611,40.83777069,13.97809962,6501536.233,6,0,45.14444029,,,,,,,,,
50,47.90504234,8.965256326,1.006301152,32.41651527,54.24236559,17.58348473,-15672495.61,1,0,44.27121698,,,,,,,,,
50,37.06950756,7.285033714,0.9609570837,30.26523277,65.20606461,19.73476723,-23411778.29,7,0,39.54994612,,,,,,,,,
50,50,6.901644722,1.627716183,25.91448214,92.94230822,15.54045734,72436458.12,3,2,54.37283187,,,,,,,,,
24.90973928,15.1442047,7.163343908,1.237498808,11.15045285,95,13.75928643,-7773929.808,2,0,11.40813917,,,,,,,,,
49.36179726,44.62734784,6.514991248,0.7308236886,27.51763398,79.38241816,21.84416327,41642010.44,7,0,39.67156522,,,,,,,,,
41.13706837,28.83367601,7.85405457,0.9558827855,25.98415237,58.3159912,15.15291601,-4390453.033,6,0,33.96317035,,,,,,,,,
33.14105046,29.17396652,7.712097816,0.8308826342,16.89286002,95,10.72468203,-15021381.23,2,1,30.72015398,,,,,,,,,
33.20003288,35.0180141,7.236530938,0.8479170474,17.17749881,93.27629267,10.48919525,42499785.29,6,1,28.01520621,,,,,,,,,
32.93442542,32.03187986,2.996522575,0.5777608677,19.82888456,66.09318251,13.10554086,23698923.61,3,0,25.24310919,,,,,,,,,
35.06800402,31.36306497,7.602646148,1.442606865,17.52382021,95,11.69951647,-723270.6899,4,1,31.53689502,,,,,,,,,
50,39.83371336,6.847226273,0.6992411906,30.2058613,65.53078725,19.7941387,34011423.35,1,0,37.68265721,,,,,,,,,
39.72230296,31.37076765,6.579042424,0.7518307169,21.72131141,82.87248967,18.00099155,75609195.49,3,0,33.9158478,,,,,,,,,
50,50,7.952046255,1.120513517,28.21626468,77.20276075,19.57393303,-21970601,4,1,51.70239453,,,,,,,,,
50,36.35886479,7.13319515,1.00377772,27.51179074,81.74025994,22.48820926,14152099.4,2,0,40.60685161,,,,,,,,,
41.46514148,28.19600637,6.248233024,1.149399487,23.63989197,75.40326125,17.8252495,-12276304.91,5,0,29.42885936,,,,,,,,,
50,50,10,0.7697957311,32.39181002,54.36000635,17.60818998,-28036230.62,7,1,53.79615143,,,,,,,,,
50,50,10,0.7575105144,29.63849538,68.69952189,20.36150462,-28868003.58,1,1,49.70486747,,,,,,,,,
27.40417237,21.80971291,1.5775562,0.8422734935,17.63418237,55.40370282,9.769989996,47769994.38,1,0,22.27697728,,,,,,,,,
34.33561209,34.69454088,7.552751828,1.562851252,17.39839515,95,11.21461492,-54742818.22,1,1,32.01642338,,,,,,,,,
50,37.03966084,5.480200281,1.147575751,29.23021667,71.05586514,20.76978333,15235780.75,6,0,36.73646431,,,,,,,,,
24.23580227,46.32614292,8.397316925,0.8592473044,10.10076372,95,10.09573817,-24757292.33,2,1,18.00136578,,,,,,,,,
14.30298206,31.21196915,3.89954598,1.371344894,7.781677933,83.80331576,6.52130413,53174848.55,1,0,9.02894658,,,,,,,,,
16.08358512,15.47033507,4.498554257,1.014094178,10.01650796,60.57078153,6.067077155,-8192299.468,1,0,12.78462206,,,,,,,,,
39.89882151,42.66851508,4.705477688,0.9572861545,21.10971764,89.00689334,12.13930028,-10920230.2,6,1,37.13744812,,,,,,,,,
50,47.30289245,9.459811863,0.6626073724,25.32733441,95,16.47710006,47085279.13,6,1,40.69312745,,,,,,,,,
20.38594493,38.47531927,6.31887875,0.775454039,11.4919331,77.39352249,5.49635434,26304002.47,2,1,19.62963859,,,,,,,,,
50,50,10,1.020255544,26.95965979,85.46228098,23.04034021,16626809.53,6,1,49.7388058,,,,,,,,,
50,50,10,1.291471285,31.73332512,57.56306602,18.26667488,24174358.67,6,2,60,,,,,,,,,
49.68063924,50,4.787903446,1.205815438,27.55187086,80.31675412,22.12876838,-32498207.66,6,0,42.49964016,,,,,,,,,
50,41.72830663,7.892912979,0.5,31.96700923,56.41125397,18.03299077,22251396.17,3,2,54.67641466,,,,,,,,,
35.95889748,37.88611459,8.22375817,1.022228434,22.58015018,59.25003688,13.37874731,-5971626.425,6,0,26.22168866,,,,,,,,,
50,43.02395476,6.34553521,0.9833356903,26.25962088,90.40640471,23.74037912,10827740.97,4,1,46.67627657,,,,,,,,,
45.76098173,36.94596513,2.81945039,0.9732639881,28.93051469,58.17548435,16.83046705,14536587.79,5,0,34.13873292,,,,,,,,,
20.43295749,28.78135849,5.234645918,0.7180360641,14.24996918,43.38948556,6.182988317,-33315272.5,4,0,23.07463003,,,,,,,,,
38.75039549,24.72763299,7.184118013,1.286542696,21.89095466,77.01555771,10.40104158,17814677.88,7,1,34.34095852,,,,,,,,,
25.2141093,30.03943575,4.028266524,0.7621381503,13.59126901,85.5169615,11.62284029,-5590718.699,2,0,18.44015841,,,,,,,,,
46.07345352,29.07505708,6.606759628,0.6406366322,23.39554844,95,14.99899616,-37197643.38,2,1,35.92134303,,,,,,,,,
50,50,6.751794264,1.064193973,31.38889877,59.29198527,18.61110123,-4396974.196,4,0,47.63291604,,,,,,,,,
38.31507925,31.16279809,6.978899747,1.227252313,24.46170129,56.63292918,13.85337797,600753.4235,6,0,38.2199067,,,,,,,,,
32.04248279,24.60919266,5.075285446,0.5,20.0445312,59.85648391,11.99795159,17808956.74,2,0,24.45834341,,,,,,,,,
17.27213407,32.98611678,7.133249644,0.9252891881,9.510007953,81.62060591,7.762126114,-71648731.13,5,0,13.19397352,,,,,,,,,
48.64835445,41.51040333,10,1.335872473,31.16490018,56.09982439,17.48345427,11644086.9,1,0,46.54521944,,,,,,,,,
45.69748335,29.6841406,4.202309873,1.061039091,24.83638161,83.99412632,13.24485452,-15355801.71,3,1,37.22458454,,,,,,,,,
28.65473882,15.45834605,4.326573317,0.6755355989,16.88428668,69.71246321,11.77045214,24296203.39,5,0,19.69380809,,,,,,,,,
50,50,7.549923557,1.443983242,28.43289039,75.85268086,21.56710961,-55984.38853,6,0,43.5831962,,,,,,,,,
41.16052461,27.26893441,8.827465039,1.161673013,23.24050809,77.10681907,17.92001652,-10001445.13,2,0,32.6665086,,,,,,,,,
29.32956922,28.3871811,4.521082375,0.5851600807,17.39442004,68.61481528,7.046887643,-5325011.888,3,1,26.7754757,,,,,,,,,
50,50,5.517648406,1.168890771,31.90135677,56.73314574,18.09864323,10002292.27,7,1,52.04375608,,,,,,,,,
36.28843376,29.23209257,5.713332138,0.7408027691,18.10413731,95,12.13622415,27237282.23,6,1,31.37815621,,,,,,,,,
40.72782442,27.28657673,6.631789506,0.9849285672,24.03834824,69.42854816,16.68947618,-26733338.93,4,0,30.9553288,,,,,,,,,
36.4157793,24.21527528,4.892409085,1.226617368,18.31309406,95,18.10268524,-10309795.78,1,0,24.14512105,,,,,,,,,
50,35.79640248,8.852074048,1.225416137,28.33945248,76.43248413,19.17430533,44080381.52,7,1,48.82353222,,,,,,,,,
14.95892078,24.63343715,3.110567852,1.171179601,6.593122161,95,8.365798622,-10833350.8,4,0,9.463812158,,,,,,,,,
28.55111265,12.12129947,2.679716171,1.014425484,17.44866654,63.62919527,11.10244611,11017491.92,3,0,20.17948086,,,,,,,,,
43.89583753,28.43193407,7.488806193,0.5015439813,28.70799701,52.90456353,15.18784052,-37025758.13,1,0,40.0711171,,,,,,,,,
39.00880302,23.06686707,4.978178765,1.014219601,21.44437871,81.90689297,17.56442431,-51435218.73,4,0,27.47448166,,,,,,,,,
32.51255942,28.17239599,9.009884261,0.8269324391,16.73345323,94.29677169,10.36034629,-31206145.95,3,1,26.51064826,,,,,,,,,
