Date,Days_to_Expiry,VIX,ATM_IV,IVP,PCR,FII_DII_Net_Long,Straddle_Price,Event_Impact_Score,Spot_MaxPain_Diff_Pct,Volume,Open_Interest,Realized_Vol,Next_5D_Realized_Vol
2025-02-10,6,10.95,18.22,85.7,0.97,857,392.38,0,1.11,1486165,11245131,15.55,6.15
2025-02-11,3,17.24,18.41,67.3,1.08,1145,441.58,2,0.97,1336341,10198425,19.26,6.74
2025-02-12,4,16.56,17.72,79.0,1.09,1540,441.64,1,1.13,1212066,11845741,18.34,6.34
2025-02-13,6,12.8,14.07,84.4,1.29,1273,430.08,0,1.21,1461419,9051745,16.83,4.98
2025-02-14,2,17.26,18.79,68.0,0.84,916,395.46,2,1.23,1025917,11094157,19.13,6.82
2025-02-17,7,15.75,16.79,66.1,0.95,1590,420.14,2,0.83,1199770,9091865,18.09,6.25
2025-02-18,4,14.23,15.09,94.4,0.9,926,401.58,2,0.98,1381680,10261466,12.99,5.8
2025-02-19,4,12.68,16.17,78.1,0.93,1192,386.01,0,0.85,1181342,10072200,17.6,5.57
2025-02-20,6,16.13,14.2,69.1,1.04,1440,319.28,1,0.95,1439542,11120473,17.07,5.09
2025-02-21,1,13.59,16.31,94.9,0.99,857,421.68,0,0.88,944238,11500856,15.57,5.64
2025-02-24,2,12.24,18.5,93.8,1.0,1433,423.1,1,1.09,901252,11906158,13.88,6.54
2025-02-25,6,14.29,16.34,79.5,1.22,1312,393.89,2,0.97,1385450,10222869,16.89,6.09
2025-02-26,2,14.08,15.28,90.9,1.27,1550,423.06,0,0.9,1215826,11283869,12.88,5.34
2025-02-27,2,15.13,16.48,66.6,0.84,895,397.72,1,0.92,1221638,10429551,15.97,5.88
2025-02-28,7,14.65,17.92,69.8,0.9,1437,331.0,1,0.96,1227359,11281020,15.07,6.22
2025-03-03,4,17.4,14.3,84.5,1.14,917,341.09,1,0.92,906949,11756944,14.11,5.17
2025-03-04,3,16.4,14.96,89.6,0.98,1359,332.19,0,1.0,1217537,11192409,17.78,5.14
2025-03-05,7,14.66,17.25,90.0,0.93,1400,356.59,0,0.81,1450222,9588579,15.94,5.88
2025-03-06,7,13.19,14.5,74.2,0.95,1287,305.84,0,0.93,1355102,11307328,16.26,4.97
2025-03-07,2,17.38,20.89,91.1,0.96,1036,392.74,1,0.99,1237889,11287623,17.36,7.27
2025-03-10,5,16.57,16.69,89.8,1.22,1071,350.48,0,1.07,1376467,9914032,15.99,5.69
2025-03-11,4,20.31,15.19,92.7,0.87,988,398.36,0,0.92,1256600,11570082,16.68,5.3
2025-03-12,1,15.53,15.37,87.5,1.15,1503,357.81,0,0.86,1215557,10567438,17.22,5.31
2025-03-13,7,18.28,16.03,83.4,1.08,1246,402.24,0,0.83,1204462,10966382,16.85,5.52
2025-03-14,3,15.92,15.86,80.3,0.95,1380,351.09,1,1.22,1150875,10524350,16.43,5.68
2025-03-17,5,15.17,12.82,73.0,1.01,1589,339.1,1,0.99,1363389,9917559,18.67,4.74
2025-03-18,5,11.98,19.53,92.9,0.93,1046,374.41,0,1.06,970390,9635605,17.86,6.56
2025-03-19,1,16.44,16.97,94.1,1.11,875,403.93,2,1.21,1153490,9389593,15.87,6.36
2025-03-20,7,13.31,16.95,69.9,0.84,953,352.25,0,0.84,1467376,9815131,14.64,5.73
2025-03-21,3,13.97,18.64,70.7,0.8,1455,440.5,0,1.19,1147940,9067661,16.96,6.33
2025-03-24,4,14.91,14.89,77.0,1.11,1234,305.88,1,1.05,1265340,11665687,16.32,5.31
2025-03-25,0,14.45,15.48,75.7,0.9,885,362.69,0,0.87,1333027,10720684,18.56,5.3
2025-03-26,3,11.87,17.91,94.8,0.84,1496,445.14,0,0.99,1408041,11363917,17.48,6.12
2025-03-27,1,13.41,16.87,66.2,1.0,1084,382.2,1,1.15,1217623,10194682,17.15,5.98
2025-03-28,5,16.86,17.69,60.6,0.83,1019,363.52,0,1.02,1116464,11078007,16.02,5.98
2025-03-31,4,16.36,16.84,77.3,1.24,868,385.28,0,1.24,1410736,10307506,14.69,5.73
2025-04-01,3,16.4,16.52,66.3,0.81,846,386.39,0,0.97,1217267,10971206,15.7,5.67
2025-04-02,0,15.35,19.87,72.8,1.09,893,409.75,0,1.14,1123777,11757634,16.72,6.69
2025-04-03,0,16.32,19.13,86.0,1.02,1549,319.15,0,0.98,905569,11901614,13.41,6.37
2025-04-04,2,15.48,12.0,85.2,1.14,1252,337.5,0,1.17,1494124,11966422,17.86,4.26
2025-04-07,2,14.66,19.96,70.8,0.96,1003,387.08,1,1.06,1329802,11546026,19.1,6.91
2025-04-08,6,17.33,21.32,79.0,0.88,1017,430.07,1,0.83,1158090,9853499,13.08,7.41
2025-04-09,1,14.51,19.46,77.8,1.29,1273,384.28,1,0.82,945002,9118033,13.9,6.79
2025-04-10,7,13.46,16.57,82.3,1.22,1231,335.79,1,0.86,1398870,9630265,16.34,5.89
2025-04-11,3,17.42,15.62,68.8,1.23,1140,401.98,0,0.81,1111791,11710309,15.13,5.38
2025-04-14,3,17.47,18.46,80.6,0.93,1350,410.99,0,0.83,1102846,10678050,16.39,6.26
2025-04-15,7,11.85,15.76,94.3,0.82,1411,335.74,0,1.11,924071,11918258,15.89,5.41
2025-04-16,6,16.28,17.71,77.0,0.95,1088,356.66,0,1.04,1482531,10215502,14.46,5.97
2025-04-17,5,10.91,16.96,91.7,1.07,1053,380.15,0,1.14,1072312,10619135,17.93,5.78
2025-04-18,5,17.14,19.44,75.2,0.96,1533,374.48,0,1.21,1157218,11957272,16.7,6.52
2025-04-21,6,13.13,16.22,72.3,1.21,1156,358.44,0,1.06,1114879,9431734,15.16,5.5
2025-04-22,5,16.57,16.11,82.6,0.94,822,344.65,1,1.13,1263714,10421796,18.26,5.74
2025-04-23,2,13.77,17.76,83.4,1.28,1561,315.0,2,1.14,1326650,11762779,15.24,6.45
2025-04-24,3,15.67,20.87,90.2,1.03,1321,308.02,0,0.97,1231868,11319049,14.14,6.91
2025-04-25,6,12.24,17.16,68.1,1.22,1557,443.78,0,0.91,1453020,11098214,16.28,5.9
2025-04-28,3,14.44,16.17,77.5,0.9,899,427.07,0,0.89,1317170,11192614,16.53,5.6
2025-04-29,7,14.88,18.72,80.0,1.01,979,353.24,2,0.91,957108,10448021,16.8,6.79
2025-04-30,0,16.92,18.44,86.9,1.15,1022,443.52,2,0.92,1380721,10498585,17.04,6.79
2025-05-01,2,18.59,15.1,61.5,0.87,1561,401.52,0,0.89,1011195,9770173,16.77,5.2
2025-05-02,4,16.16,15.93,94.8,0.87,1458,372.38,0,1.2,936668,11669355,16.71,5.49
2025-05-05,2,15.6,19.19,76.4,1.28,1241,373.95,0,1.14,1185205,9658956,15.14,6.43
2025-05-06,6,12.94,17.86,69.8,1.16,1407,312.49,0,0.82,1241396,10447960,14.98,5.95
2025-05-07,4,12.16,12.06,90.9,0.82,1568,313.76,0,0.92,1464037,10680963,17.11,4.26
2025-05-08,0,15.38,17.96,86.2,1.0,1124,390.37,0,0.81,1030560,11629001,16.37,6.09
2025-05-09,6,15.27,18.85,93.4,1.02,1315,383.06,2,1.02,1266824,9467010,17.23,6.89
