Date,ATM_IV,Event_Impact_Score,IVP,PCR,IV_Skew,FII_Derivative_Positioning,VIX,Days_to_Expiry,5_Day_Historical_RV,Next_5_Day_RV
2025-02-20,16.50,1,76.50,0.58,4.80,-22000,17.20,0,27.80,31.25
2025-02-21,17.10,0,78.90,0.65,5.20,-24000,17.60,6,28.00,27.80
2025-02-24,16.90,0,77.80,0.62,4.90,-23000,17.50,3,28.50,28.10
2025-02-25,16.30,2,75.40,0.60,5.00,-25000,17.00,2,28.20,34.50
2025-02-26,17.50,0,80.50,0.64,5.30,-21000,18.00,1,28.80,29.20
2025-02-27,16.80,0,77.70,0.61,4.70,-23500,17.40,0,29.00,28.50
2025-02-28,17.20,1,79.20,0.66,5.40,-24500,17.80,6,28.70,32.00
2025-03-03,16.60,0,76.60,0.59,4.60,-22500,17.30,3,28.30,27.90
2025-03-04,16.40,0,75.60,0.57,4.90,-26000,16.90,2,27.90,27.50
2025-03-05,17.00,1,78.50,0.63,5.10,-23000,17.60,1,28.10,31.70
2025-03-06,16.70,0,77.00,0.60,4.80,-24000,17.30,0,28.50,28.00
2025-03-07,17.30,0,79.50,0.67,5.50,-22000,17.90,6,28.90,28.60
2025-03-10,16.50,1,76.50,0.58,4.70,-25000,17.10,3,28.30,31.40
2025-03-11,16.20,0,74.70,0.56,4.90,-26000,16.80,2,27.80,27.30
2025-03-12,17.40,0,80.10,0.65,5.20,-21500,18.00,1,28.60,29.10
2025-03-13,16.90,1,77.80,0.62,5.00,-23000,17.50,0,29.10,32.50
2025-03-14,17.10,0,78.90,0.64,5.30,-24000,17.70,6,28.80,28.20
2025-03-17,16.70,0,77.00,0.60,4.80,-22500,17.20,3,28.40,27.90
2025-03-18,16.30,2,75.40,0.58,4.90,-25500,16.90,2,27.90,34.20
2025-03-19,17.50,0,80.50,0.66,5.40,-21000,18.10,1,28.70,29.30
2025-03-20,16.80,0,77.70,0.61,4.80,-23500,17.40,0,29.20,28.60
2025-03-21,17.20,1,79.20,0.65,5.20,-24500,17.80,6,28.90,32.10
2025-03-24,16.60,0,76.60,0.59,4.70,-22000,17.20,3,28.50,28.00
2025-03-25,16.40,0,75.60,0.57,4.90,-26000,16.90,2,28.10,27.60
2025-03-26,17.00,1,78.50,0.63,5.10,-23000,17.60,1,27.80,31.50
2025-03-27,16.70,0,77.00,0.60,4.80,-24000,17.30,0,28.30,27.90
2025-03-28,17.30,0,79.50,0.67,5.50,-22000,17.90,6,28.70,28.50
2025-03-31,16.50,1,76.50,0.58,4.70,-25000,17.10,3,28.20,31.30
2025-04-01,16.20,0,74.70,0.56,4.90,-26000,16.80,2,27.70,27.20
2025-04-02,17.40,0,80.10,0.65,5.20,-21500,18.00,1,28.50,29.00
2025-04-03,16.90,1,77.80,0.62,5.00,-23000,17.50,0,29.00,32.40
2025-04-04,17.10,0,78.90,0.64,5.30,-24000,17.70,6,28.60,28.10
2025-04-07,16.70,0,77.00,0.60,4.80,-22500,17.20,3,28.20,27.80
2025-04-08,16.30,2,75.40,0.58,4.90,-25500,16.90,2,27.80,34.10
2025-04-09,17.50,0,80.50,0.66,5.40,-21000,18.10,1,28.60,29.20
2025-04-10,16.80,0,77.70,0.61,4.80,-23500,17.40,0,29.10,28.50
2025-04-11,17.20,1,79.20,0.65,5.20,-24500,17.80,6,28.80,32.00
2025-04-14,16.60,0,76.60,0.59,4.70,-22000,17.20,3,28.40,27.90
2025-04-15,16.40,0,75.60,0.57,4.90,-26000,16.90,2,28.00,27.50
2025-04-16,17.00,1,78.50,0.63,5.10,-23000,17.60,1,27.70,31.40
2025-04-17,16.70,0,77.00,0.60,4.80,-24000,17.30,0,28.20,27.80
2025-04-18,17.30,0,79.50,0.67,5.50,-22000,17.90,6,28.60,28.40
2025-04-21,16.50,1,76.50,0.58,4.70,-25000,17.10,3,28.10,31.20
2025-04-22,16.20,0,74.70,0.56,4.90,-26000,16.80,2,27.60,27.10
2025-04-23,17.40,0,80.10,0.65,5.20,-21500,18.00,1,28.40,28.90
2025-04-24,16.90,1,77.80,0.62,5.00,-23000,17.50,0,28.90,32.30
2025-04-25,17.10,0,78.90,0.64,5.30,-24000,17.70,6,28.50,28.00
2025-04-28,16.70,0,77.00,0.60,4.80,-22500,17.20,3,28.10,27.70
2025-04-29,16.30,2,75.40,0.58,4.90,-25500,16.90,2,27.70,34.00
2025-04-30,17.50,0,80.50,0.66,5.40,-21000,18.10,1,28.50,29.10
2025-05-01,16.80,0,77.70,0.61,4.80,-23500,17.40,0,29.00,28.40
2025-05-02,17.20,1,79.20,0.65,5.20,-24500,17.80,6,28.70,31.90
2025-05-05,16.60,0,76.60,0.59,4.70,-22000,17.20,3,28.30,27.80
2025-05-06,16.40,0,75.60,0.57,4.90,-26000,16.90,2,27.90,27.40
2025-05-07,17.00,1,78.50,0.63,5.10,-23000,17.60,1,27.60,31.30
2025-05-08,16.70,0,77.00,0.60,4.80,-24000,17.30,0,28.10,27.70
2025-05-09,17.30,0,79.50,0.67,5.50,-22000,17.90,6,28.50,28.30
2025-05-12,16.50,1,76.50,0.58,4.70,-25000,17.10,3,28.00,31.10
2025-05-13,16.20,0,74.70,0.56,4.90,-26000,16.80,2,27.50,27.00
2025-05-14,17.40,0,80.10,0.65,5.20,-21500,18.00,1,28.30,28.80
2025-05-15,16.90,1,77.80,0.62,5.00,-23000,17.50,0,28.80,32.20
2025-05-16,17.10,0,78.90,0.64,5.30,-24000,17.70,6,28.40,27.90
2025-05-19,16.70,0,77.00,0.60,4.80,-22500,17.20,3,28.00,27.60
2025-05-20,16.80,1,77.91,0.61,5.00,-23498,17.40,2,28.19,31.50
