Date,ATM_IV,Event_Impact_Score,IVP,PCR,IV_Skew,FII_Derivative_Positioning,VIX,Days_to_Expiry,5_Day_Historical_RV,Next_5_Day_RV
2024-11-01,14.50,0,65.20,0.55,4.20,15000,15.10,6,25.40,26.80
2024-11-04,15.20,0,67.80,0.58,4.30,12000,15.80,3,26.10,27.50
2024-11-05,15.00,1,66.90,0.60,4.50,10000,15.60,2,26.30,28.20
2024-11-06,16.80,0,70.50,0.62,4.70,8000,17.20,1,27.10,29.10
2024-11-07,17.30,0,72.10,0.65,4.90,5000,17.80,0,27.80,30.40
2024-11-08,18.10,1,74.20,0.68,5.10,-2000,18.50,6,28.50,31.20
2024-11-11,19.50,0,77.80,0.72,5.30,-5000,19.90,3,29.30,32.10
2024-11-12,20.20,2,80.10,0.78,6.00,-10000,20.60,2,30.10,34.80
2024-11-13,22.50,0,84.30,0.85,6.30,-15000,23.10,1,31.50,36.20
2024-11-14,21.80,0,82.70,0.82,6.10,-12000,22.40,0,31.00,35.50
2024-11-15,20.40,1,79.50,0.79,5.90,-8000,20.90,6,30.20,33.80
2024-11-18,19.10,0,76.30,0.74,5.60,-4000,19.60,3,29.40,32.10
2024-11-19,18.60,0,74.80,0.70,5.40,0,19.10,2,28.90,31.40
2024-11-20,17.90,1,72.50,0.67,5.20,3000,18.40,1,28.30,30.80
2024-11-21,16.50,0,69.10,0.63,4.90,6000,17.00,0,27.60,29.50
2024-11-22,15.80,0,67.40,0.60,4.70,9000,16.30,6,26.90,28.20
2024-11-25,15.20,0,65.80,0.58,4.50,12000,15.80,3,26.30,27.60
2024-11-26,14.90,1,64.90,0.56,4.40,15000,15.50,2,25.90,27.10
2024-11-27,14.60,0,63.70,0.55,4.30,17000,15.20,1,25.50,26.80
2024-11-28,14.20,0,62.50,0.54,4.20,20000,14.80,0,25.10,26.40
2024-11-29,13.90,0,61.30,0.53,4.10,23000,14.50,6,24.80,26.10
2024-12-02,13.60,0,60.10,0.52,4.00,25000,14.20,3,24.50,25.80
2024-12-03,13.40,1,59.20,0.51,3.90,27000,14.00,2,24.20,25.50
2024-12-04,13.80,0,60.80,0.53,4.00,24000,14.40,1,24.60,26.00
2024-12-05,14.10,0,62.10,0.55,4.10,21000,14.70,0,25.00,26.40
2024-12-06,14.50,1,63.50,0.57,4.20,18000,15.10,6,25.40,26.80
2024-12-09,15.00,0,65.00,0.59,4.30,15000,15.60,3,25.80,27.20
